event_date,user_pseudo_id,item_name,session_id,session_engaged,engagement_time_seconds
20221129,267314288.1668564232,,1669763891,1,6.855
20221129,1230687608.1669501427,,1669767207,0,
20221129,1371689807.1669686442,,1669767553,1,98.13
20221129,1303035863.1669782814,,1669782814,1,321.611
20221129,1824614119.1669759208,,1669759208,0,
20221129,1385095850.1669759212,,1669759211,0,
20221129,1165760385.1669759217,,1669759216,0,
20221129,1118993115.1669759214,,1669759213,0,
20221128,417714690.1669643622,Coaching Call,,,
20221128,662447679.1669660762,Coaching Call,,,
20221128,undefined,Coaching Call,,,
20221128,861226428.1669687915,Coaching Call,,,
20221128,1115898988.1669554392,,1669624076,1,109.658
20221128,159115789.1669667234,,1669667234,0,
20221128,2038027294.1669666388,,1669666387,0,
20221128,137387640.1669669895,,1669669895,0,
20221128,897881291.1669669157,,1669669156,0,
20221128,1822736249.1669666134,,1669666134,0,
20221128,394078160.1669664706,,1669664706,1,5.077
20221128,404457531.1669664732,,1669664731,1,37.738
20221128,1593916948.1669661248,,1669661247,0,
20221128,846778560.1669664791,,1669664790,0,4.511
20221128,907195672.1669668069,,1669668068,0,
20221128,953328259.1669669134,,1669669134,0,5.304
20221128,516951725.1669664311,,1669664311,1,6.141
20221128,1338250698.1669664327,,1669664327,0,2.425
20221128,89480793.1669663091,,1669663091,0,0.036
20221128,1915974640.1669652380,,1669652380,0,
20221128,2039532618.1667946091,,1669665026,0,
20221128,192408676.1669663199,,1669663198,0,
20221128,1501430985.1669669437,,1669669436,0,
20221128,380290297.1669662789,,1669662789,0,
20221128,1920492602.1669667926,,1669667925,0,
20221128,1500510564.1665519044,,1669668304,1,2.046
20221128,1811959468.1669496410,,1669665679,0,
20221128,1150911136.1669666725,,1669666724,0,
20221128,881703993.1669649957,,1669649957,0,1.56
20221128,399599203.1669663011,,1669663010,0,
20221128,708573416.1669667784,,1669667783,0,
20221128,1752353013.1669670550,,1669670550,0,1.017
20221128,1329036847.1669680578,,1669680577,1,17.262
20221128,1247765252.1669680613,,1669680612,0,6.222
20221128,1286004500.1669681571,,1669681570,0,
20221128,861226428.1669687915,,1669687915,1,26.669
20221128,1704848210.1669687982,,1669687982,0,4.645
20221128,75916029.1669688526,,1669688526,0,1.504
20221128,1375897522.1669700916,,1669700915,1,9.73
20221128,486826923.1669701748,,1669701747,1,30.513
20221128,615667501.1669701803,,1669701802,0,
20221128,354532980.1669138283,,1669628656,1,54.081
20221128,593915080.1668680045,,1669634038,1,13.307
20221128,189627872.1669144257,,1669634104,0,6.769
20221128,593915080.1668680045,,1669669329,1,9.114
20221128,1861828885.1669133137,,1669668506,1,146.863
20221128,418137811.1669631050,,1669631050,0,
20221128,872123672.1662915915,,1669667647,1,
20221128,872123672.1662915915,,1669662294,1,
20221128,1899274886.1669577293,,1669670703,1,6.966
20221128,293693909.1669652970,,1669652969,0,
20221128,258883832.1669682056,,1669682056,1,0.063
20221128,1597288599.1669664572,,1669664572,0,3.274
20221128,1976264821.1669660568,,1669660567,1,26.514
20221128,1432264293.1669691690,,1669691690,0,1.066
20221128,1398900335.1669676392,,1669676391,0,
20221128,1152675833.1669662081,,1669662081,0,
20221128,1904700304.1669629455,,1669629454,0,
20221128,1482863680.1669650916,,1669650915,0,4.291
20221128,1500078593.1669663033,,1669663033,1,25.499
20221128,1842162662.1669661167,,1669661167,1,74.819
20221128,79876839.1669679942,,1669679942,0,
20221128,1027837784.1669688154,,1669688153,1,159.935
20221128,1983901842.1669671372,,1669671372,0,
20221128,2031352290.1669678066,,1669678066,1,95.333
20221128,1671258518.1669691280,,1669691280,1,9.659
20221128,924717417.1669692540,,1669692540,0,
20221128,1918207966.1669699194,,1669699193,0,
20221128,1200776407.1669651569,,1669651569,0,3.367
20221128,1800302790.1669648300,,1669648299,1,157.09
20221128,417714690.1669643622,,1669643621,1,5.488
20221128,2118104120.1669643644,,1669643643,0,
20221128,1881375476.1669685573,,1669685572,1,3.159
20221128,1337653568.1664521736,,1669647360,1,
20221128,966952768.1669649148,,1669649148,1,4.196
20221128,350999279.1669663859,,1669663859,1,7.814
20221128,1409724392.1669664918,,1669664918,1,9.268
20221128,1337653568.1664521736,,1669667285,1,12.644
20221128,1920609678.1669128322,,1669648953,1,195.353
20221128,243239272.1669668827,,1669668827,1,91.881
20221128,887542750.1669672927,,1669672927,1,15.1
20221128,1557952509.1669705137,,1669705140,0,
20221128,532381032.1659384942,,1669641726,0,9.734
20221128,611729872.1668006187,,1669646575,1,6.6
20221128,26452164.1664398690,,1669648432,1,7.572
20221128,892256433.1654529643,,1669668565,1,10.223
20221128,871362433.1664975489,,1669669350,1,18.891
20221128,611729872.1668006187,,1669649358,1,33.402
20221128,662447679.1669660762,,1669660762,1,7.467
20221128,1310555120.1669660786,,1669660785,0,1.685
20221128,67553932.1667855991,,1669670237,0,1.606
20221128,2010125728.1652136260,,1669680103,0,1.607
20221128,748279228.1668999780,,1669686111,0,2.923
20221128,1812555550.1668999771,,1669686123,1,2.493
20221128,1371689807.1669686442,,1669686441,0,7.181
20221128,1296462186.1665866920,,1669674150,0,
20221128,1049128397.1669676457,,1669676457,1,6.333
20221128,898360715.1669666816,,1669666818,1,16.887
20221128,1813337672.1669663565,,1669663564,0,
20221128,1367897252.1667591505,,1669653016,1,17.574
20221128,1725264126.1669671108,,1669671108,1,1.035
20221128,623820231.1669655933,,1669655932,0,
20221128,623820231.1669655933,,1669668465,0,6.188
20221128,1437209611.1669665265,,1669665264,0,
20221128,1310950114.1669663427,,1669663427,1,1.574
20221128,1948835664.1669663743,,1669663742,0,1.094
20221128,2059781960.1669685328,,1669685327,0,1.004
20221128,649452924.1669670007,,1669670006,1,0.035
20221128,1348631317.1669674485,,1669674485,1,16.085
20221128,341722587.1637716446,,1669685587,0,
20221128,1028239818.1669690228,,1669690227,0,1.222
20221128,1028239818.1669690228,,1669694025,1,22.353
20221128,1377389695.1669694040,,1669694039,0,6.372
20221127,1716895698.1658785659,Coaching Call,,,
20221127,1115898988.1669554392,,1669554391,1,89.984
20221127,1448454055.1669554452,,1669554452,1,23.801
20221127,1162985008.1669573557,,1669573557,1,8.014
20221127,726288105.1669573601,,1669573600,0,
20221127,309597120.1669573602,,1669573602,0,
20221127,796408284.1669573614,,1669573614,0,5.054
20221127,1579901551.1669573690,,1669573690,1,8.049
20221127,2051654103.1669608019,,1669608019,1,127.503
20221127,1437334307.1669608524,,1669608523,0,
20221127,95304802.1669432527,,1669574994,0,
20221127,1337653568.1664521736,,1669579189,1,8.367
20221127,1932879658.1666808673,,1669583561,0,0.029
20221127,122957262.1669607577,,1669607576,1,16.874
20221127,1924161129.1669549455,,1669549455,1,46.226
20221127,1032718614.1669549466,,1669549466,1,14.389
20221127,418828306.1669059932,,1669577739,1,1.638
20221127,403291517.1669577815,,1669577815,1,318.346
20221127,1482114222.1668180950,,1669539308,1,48.935
20221127,1146948174.1669041917,,1669548290,0,
20221127,1160789584.1669477603,,1669570545,0,1.55
20221127,1160789584.1669477603,,1669577165,1,26.544
20221127,555959134.1669588256,,1669588256,1,14.007
20221127,636771627.1669588596,,1669588595,1,12.189
20221127,1988274830.1669534760,,1669534762,1,9.642
20221127,587529904.1669535776,,1669535777,1,7.455
20221127,1506337762.1669537888,,1669537888,1,17.386
20221127,1051902202.1669594366,,1669594366,1,59.417
20221127,2031601.1662272810,,1669594262,1,73.901
20221127,2031601.1662272810,,1669600902,0,1.283
20221127,358817967.1661148582,,1669538460,1,25.786
20221127,358817967.1661148582,,1669547954,1,9.576
20221127,1300358281.1669146378,,1669557630,0,
20221127,1571651403.1669546667,,1669546667,0,
20221127,822225850.1669548964,,1669548963,1,32.191
20221127,886255617.1669547165,,1669547165,0,
20221127,1692480303.1669556103,,1669556103,0,
20221127,110866311.1669556183,,1669556183,0,0.046
20221127,765851246.1669555389,,1669555389,0,1.235
20221127,1813332468.1669558445,,1669558445,0,
20221127,1239861794.1669563288,,1669563287,0,
20221127,1428769388.1669249569,,1669566667,0,6.264
20221127,1606891174.1669267687,,1669568733,1,23.817
20221127,1193079659.1669574604,,1669574604,0,
20221127,1190844271.1669586945,,1669586944,0,
20221127,485793114.1669588040,,1669588039,0,
20221127,704465927.1669588891,,1669588890,0,
20221127,1428762747.1669593611,,1669593611,1,25.876
20221127,1120743118.1669595666,,1669595665,1,47.131
20221127,46576226.1669601843,,1669601843,1,36.515
20221127,1913584598.1669604557,,1669604556,0,
20221127,1871997858.1669608186,,1669608185,0,
20221127,133851965.1669556855,,1669556855,0,
20221127,1365893883.1667566340,,1669556862,0,
20221127,1716895698.1658785659,,1669560858,1,70.59
20221127,1992769091.1669560949,,1669560948,0,5.638
20221127,17787749.1669560994,,1669560997,0,
20221127,1481093698.1669582869,,1669582869,1,61.091
20221127,389552959.1669598892,,1669598891,1,5.062
20221127,72722244.1669602464,,1669602464,1,19.032
20221127,883799345.1669502527,,1669562919,1,17.552
20221127,1718279200.1669562963,,1669562963,1,22.981
20221127,740766140.1669556871,,1669556871,1,15.02
20221127,2079909891.1669575047,,1669575080,1,11.755
20221127,808829615.1667234427,,1669575168,0,1.186
20221127,1836549011.1669585989,,1669585988,1,77.67
20221127,1243710927.1669590019,,1669590018,0,
20221127,1823589551.1668825835,,1669602126,0,
20221127,685408585.1669566823,,1669566823,0,
20221127,260402564.1669567256,,1669567255,1,71.259
20221127,1598848547.1669575113,,1669575113,1,66.256
20221127,1899274886.1669577293,,1669577293,1,16.449
20221127,1647680493.1669577308,,1669577307,1,36.782
20221126,76427404.1669517516,Coaching Call,,,
20221126,477309562.1669466321,,1669466320,1,28.367
20221126,1160789584.1669477603,,1669477602,1,79.227
20221126,1920420141.1669486447,,1669486450,1,7.198
20221126,1230687608.1669501427,,1669501428,1,25.15
20221126,1669120821.1669501448,,1669501447,1,35.784
20221126,378258138.1669470238,,1669470237,0,
20221126,1481611179.1669474865,,1669474864,1,14.494
20221126,19975079.1669476113,,1669476112,0,
20221126,97539411.1669469104,,1669469103,1,43.411
20221126,232492474.1669461435,,1669461434,0,
20221126,723598560.1669478757,,1669478757,0,
20221126,846658927.1669489693,,1669489692,0,0.037
20221126,1053839758.1669482628,,1669482628,1,
20221126,312944630.1669483177,,1669483177,0,0.047
20221126,1161952999.1669480105,,1669480105,0,1.258
20221126,1138776474.1669505507,,1669505506,0,
20221126,497755579.1669500781,,1669500781,0,
